Products Report,Generated: 2026-06-16 04:17

Total Products,16

Product Name,Category,Price,Stock,Status
Face Cream,Beauty,$34.99,150,In Stock
Perfume,Beauty,$89.99,60,In Stock
Green Tea,Beauty,$9.99,250,In Stock
Adventure Game,Home & Garden,$59.99,5,Low Stock
Yoga Mat,Sports,$29.99,180,In Stock
Python Programming,Home & Garden,$39.99,150,In Stock
The Great Novel,Clothing,$19.99,300,In Stock
Wooden Desk,Home & Garden,$299.99,25,In Stock
Office Chair,Home & Garden,$199.99,40,In Stock
Leather Jacket,Clothing,$149.99,50,In Stock
Running Shoes,Clothing,$79.99,100,In Stock
Summer Dress,Clothing,$49.99,150,In Stock
4K Monitor,Electronics,$499.99,35,In Stock
MacBook Pro M3,Electronics,"$1,999.99",30,In Stock
Samsung Galaxy S24,Electronics,$899.99,45,In Stock
iPhone 15 Pro,Clothing,$999.99,10,Low Stock
